avg_num_tags,views,video_id
35,17653012,Il0S8BoucSA
14,17588843,drtIS8JMlQc
18,17564143,1t0iJ7F_k9Q
18,17535207,v7bnOxV4jAc
9,17487325,zI383uEwA6Q
13,17486074,UoI9riNffEU
38,17483424,PEKkdIT8JPM
30.857142857142858,17477983,4P9XUrniiK4
12,17426711,IZ0oQ6nzKxo
31,17406692,cnXapYkboRQ
27,17404958,7ouFkoU8Ap8
25,17350449,Pc2Hl2w_7qM
26,17341729,p5CTvyIfBxI
12,17182034,G7ONrDab6cU
2,17145350,qZVTkn2NjS0
6,17132036,Mx_OexsUI2M
24,17109387,_0MXhG1shEc
20,17083241,HEp392y7cqw
34,17075631,z4t9LLq1Nk0
25,17063026,n4fXmZTVdZg
27,17032138,nsMhMQfD0V0
10,16994359,JzODRUBBXpc
34,16901900,kTJczUoc26U
4,16883993,yOb9Xaug35M
30,16874526,giXco2jaZ_4
4,16816268,HzOjwL7IP_o
24,16815388,-A1J8rzJp8E
9,16783640,2S4qGKmzBJE
14,16731375,IiMinixSXII
20,16706938,5VYb3B1ETlk
6,16704233,BflFNMl_UWY
25,16659964,OUCRVxzD3a8
22,16652812,R7klyFU_6xM
36,16640091,4VaqA-5aQTM
28,16634712,pAzEY1MfXrQ
20.77777777777778,16598181,7oxlCKMlpZw
26,16587955,0NzlbBmkM3E
29,16571070,dI3xkL7qUAc
33,16548226,5D4vjndnB0w
6,16529758,E_SZ3ObGyTA
33,16493534,DotnJ7tTA34
19,16479593,mkiA9tuJ-xM
28,16468179,UnA7tepsc7s
7,16426350,ZSMoo4s2YEA
1,16421279,MwHHErfX9hI
6,16375800,OORBa32WFcM
23,16375317,PS0qkO5qty0
3,16366890,KF8I09WBtEI
1,16361087,F1fl60ypdLs
25,16358525,44wLAzydRFU
4,16346291,pSUydWEqKwE
19,16334105,ojpTpT5i-PI
17,16317304,OODneEUWUQY
38,16243147,tli25GoI8yg
21,16236136,Vd9QkWsd5p4
12,16215021,c2u2PvD2iSs
25,16143739,HRXVQ77ehRQ
46,16111580,SB9V9gnHGtA
24,16084371,aONT7atzqfw
46,16074230,qUUloBe5vEo
6,16002547,QwzvNAAqH3g
7,15977939,YKKh8d4wZbU
25,15972853,yQBImEeXNZ4
28,15956197,0m0w1wEReOI
5,15935171,OV5zVTlE1S0
24,15903469,DFMEBquxeO8
5,15866689,8HEfIJlcFbs
21,15866604,ffcitRgiNDs
7,15853263,fHeQemJJQII
15,15842303,ByoOG8KDsY0
39,15791351,MqePxS6iyvA
14,15762391,eCw5wd3yKHc
33,15754388,L0X03zR0rQk
18,15640377,VafTMsrnSTU
26,15639933,Cy8Zz7Q56dY
20,15599940,UmiVBYrBrkU
16.4,15574470,jRn6b7585es
41,15572742,WJgTnDAmJHc
40,15558565,q7u0xsMw3EE
5,15542045,BwZs3H_UN3k
31,15537241,RB9sXKVUa_s
33,15486748,Z02zptUN8gI
25,15458841,v1iZtBM23bY
59,15448507,2zXg8CbymYc
15,15445158,22VOzqS_9ms
39,15432463,Bbyftsl7Owo
31,15423400,zsZM5nX8uPY
3,15419058,F8c8f2nK82w
15,15415199,giWIr7U1deA
3,15413659,EE6YRQABzEI
3,15412133,DUrBIxB1q0o
15,15407092,m9EX0f6V11Y
15,15390321,_K2v-MmAj7E
29.714285714285715,15390017,oTw8AECmUNA
6,15299894,t3KZnCgiMW0
6,15209928,Fc7-Oe0tj5k
49,15207570,YXXlSG-du7c
37,15206330,P2wtyrjG3oU
18,15200995,PSYRbJjIT6U
52,15195743,xtcVwuauVV0
5,15165974,bdQSFnPtLTA
13,15155397,Vz508O9NNTg
10,15132525,oe2_BrZx9mc
2,15102065,Ws8KOjWsCAU
34,15068235,IXXxciRUMzE
2,15064545,5WfTEZJnv_8
5,15023406,j_MuZmJNirw
24,14996369,ASzOzrB-a9E
27,14995537,_sxUG8O6M2w
10,14946373,MA_5P3u0apQ
37,14927666,vJYL4Osyipc
19,14907772,_W8y2A9sK6s
17,14899841,-UroBRG1rY8
14,14884683,nW948Va-l10
4,14853302,e09xig209cQ
5,14842761,lFsumKiRVRs
14,14838158,_q6go0G49A0
20,14831119,SCz4iKNF-EA
31,14807163,z3Un_C784R8
12,14805617,D7eFpRf4tac
23,14781455,3YVwzsbBcBo
19,14769650,wwkH0prchjQ
16,14768462,fmOEKOjyDxU
33.5,14735802,OEu1OWf8ezU
15,14723971,27EF723ZDmI
14,14682303,p7hizWT2Og4
21,14678827,_wNsZEqpKUA
15,14612443,jWRMXiHhDjc
34,14611631,jKrJBVLnRiM
8.25,14606780,4I25nV9hXGA
19,14579188,FXcLiqIKdmw
12,14578306,dfl9KIX1WpU
14,14573081,XKfgdkcIUxw
23,14570389,Z8Z51no1TD0
35,14567369,mkomfZHG5q4
30,14564024,Y9dr2zw-TXQ
9.666666666666666,14538403,9XfdYnI7LxI
1,14514718,miO4nTBDois
15,14472669,miht6Lgkqb0
28.2,14461959,u7poJywa5z4
22,14410375,dGCSeyKL5dE
21,14365380,6EfwSPf0m68
4,14343544,osmHArcf_aE
1,14325792,8n5dJwWXrbo
9,14307186,qpCajfPNi7s
17,14287827,NLcim9EPx6c
24,14224196,53vz5pQH0Rg
4,14213686,q1zrv6OqPqY
25,14191137,qK_qK_UKu-Q
12,14182964,VDBc1etieAA
37,14173009,uLtkt8BonwM
35,14137281,eiOKp2RAcvs
29,14096489,FZ4SVG2meTQ
60,14078368,_ZNF4NDCrTM
18,14078286,7PBYGu4Az8s
20,14045009,eNKVFubxJRM
40,14009401,h9Q4zZS2v1k
21,13993520,r4P-WOOUPk4
32,13972677,_VRyoaNF9sk
25,13965881,sj9J2ecsSpo
17,13963330,DZEOt4pQXXk
21,13947427,C-qYgs_yOXA
40,13937362,RkID8_gnTxw
9,13926546,OGUy2UmRxJ0
10,13916273,gFYAXsa7pe8
48,13909712,j_azcqt-tuM
18,13905385,cL-WT39x_eo
7,13901363,Fp8msa5uYsc
12,13901322,TMjgM3l5l3M
24,13861692,Zi88i4CpHe4
13,13843076,qNKA9Q60K10
38,13829839,8g18jFHCLXk
28,13823895,L9t86v_JMG0
21,13794688,gL_LIAm22Mc
39,13789105,4czjS9h4Fpg
11,13764647,9jycpItX9l4
26,13737327,xC6J4T_hUKg
3,13722685,M0zEjvvTsoc
34,13713526,VSpgaN3wuag
44,13711532,RjbNMogQw8s
22.571428571428573,13627885,2qzcHLyv3N0
30,13614848,DaM_wL1ZOM4
7,13613651,jTihJ0RFjFc
36,13578128,oHzbNm_Xfv8
8.5,13554408,b6li05zh3Kg
15,13542562,s37x2VSZrLw
23,13488704,aXzVF3XeS8M
18,13486614,QH4mCEanwKI
20,13471324,ss0Un7fa-Mw
3,13468425,7XnlcNfgllA
19,13452801,73ercXgTwgQ
28,13442822,CeFQO9MQNqs
42,13424649,MH_vjfNPv70
7,13421873,9W7hNcytwVw
26.6,13405972,PznMpRASjAg
6,13402310,yQts1F4y_uw
37,13395590,MsNH0qBoJQs
9,13386319,UYlEEEZ_v7E
36,13344539,CiwMDFh_Rog
24,13325137,b13xnFp_LJs
9,13314354,yrGR11TDRYM
16,13308192,oSwZ_BckDvc
12,13304696,wW1lY5jFNcQ
12,13240230,bPiofmZGb8o
41,13238441,MZ4JGye4dQU
20,13221126,A8KQhwmdZIw
27,13219349,waMAVn2hHBM
38,13216353,4Ps6nV4wiCE
19,13200588,vqF8DrrBrII
4,13183396,6IRsW_TkyVA
10,13179590,MBEqSG_dQio
29,13140587,A1kuaEuLX78
37,13109986,_waD9YW8Pa8
6,13060988,zTJa_SwHcTE
24,13052674,vg6Iq_Es3Wk
25,13051372,Dt-IFSvDJic
44,13042503,mfTnowfhW2c
16,13041146,TUbmIriJlp4
17,13012878,dClrKg0TxSc
16,12940385,_VuJA-VQRcY
17,12940366,_spuxXnul0U
46,12937527,4CqwkiaXEOQ
4,12881958,_ZAgIHmHLdc
61,12874210,qRdTyoZd3rg
32,12843945,wBDLRvjHVOY
10,12842639,sQg4VCB3bYw
18,12813971,jDvYDzFOK9A
9,12813077,EAg69LaLlS0
15,12795245,yALoy13mmz8
30,12784257,-j7QuRwHzIs
18,12781268,_yTP_L8fC-k
4,12780724,e-CEd6xrRQc
23,12775063,vpVBRTXpJeI
21,12749276,9Ty8GRFJTq8
12,12744879,sk-qyR224fU
25,12744597,BqucGvLxrEk
49,12744300,EsVPUpDyGec
25,12738229,thJgU9jkdU4
7,12731504,G4JuopziR3Q
23,12728242,0hqBSwLHMec
20,12725612,2Jdpwb_0F5w
31,12721746,turBDKhWO1w
5,12718558,f18hQizJlhs
35,12715211,oJca6zoI50E
25,12709611,y9kkXTucnLU
22,12681194,unZpEayPXio
3,12659777,208gyh8L0Q0
22,12659375,nUC1QA5gRcU
4,12655179,1emA1EFsPMM
27,12652819,oMSdFM12hOw
16,12648328,cYF7hPotR7g
31,12631125,n5Qpg-iZPT8
16,12623379,BSS8Y-0hOlY
51,12590820,l6yzZdHruUI
44,12581362,wo9AlOrQ3iE
29,12563278,k_WvAH3AE1w
3,12561722,YsUB1yZvVR4
15,12553351,uPD0QOGTmMI
4,12540262,9dNND29yPhQ
17,12538611,rb1jJzpAJ9I
14,12520830,mufeRQYgqZc
14,12498164,4VSx2E7WE50
25,12471840,ySXPnjStay4
22,12461526,WsvPp0RahHA
23,12460847,x8UAUAuKNcU
19,12438704,7QJ-N-AQJYc
13,12427961,jpAHlPIrsvo
41,12427299,9X_nbT89X-c
12,12422553,ktesDdqT5lU
47,12380696,2rcKpY-4QBI
18,12380610,AqaQsL-8I_M
43,12348996,_hFarg-Obuc
24,12348993,pfxyk1glEq4
25,12341562,Iu8ZmhRphSU
4,12328596,jW-bkbSWb4A
30,12326421,jjFSRDUvETQ
24,12278491,fOzewsswtGM
20,12233165,gCszAvYz1Go
13,12212000,0b-EatqUvb4
30,12202088,9Ko-nEYJ1GE
16,12178056,YQ1vN_91KO0
18,12173798,AHmCH7iB_IM
14,12170484,QPLiY3TGa3I
33,12170091,yUYT9s-oPNc
35,12170019,k6ZoE4RrcDs
39,12166798,Xd9QeRguvDA
24,12149898,BmllggGO4pM
23,12140319,ss-JeDZY_oE
25,12128050,GvXEe4ucuXI
19,12119672,5UMCrq-bBCg
35,12119206,HYsz1hP0BFo
